"County","Population_mean","AidAmount_mean","CrimesReported_mean","AidPerCap","CrimesPerCap","HighCrime"
"Schenectady",154899.7,190566133.4,9340.4,1230.25501921566,0.0602996648799191,1
"Broome",195961.5,282316208.2,11526.7,1440.67180645178,0.0588212480512754,1
"Albany",306298.3,261297306.9,17514,853.081152915312,0.0571795533961501,1
"Erie",919830,1276165804.6,50562.5,1387.39311024863,0.054969396518922,1
"Monroe",745103.4,1060938938.4,40007.3,1423.88148866318,0.0536936215832595,1
"Niagara",212841.8,302314607.4,11262.3,1420.37234885253,0.0529139482939911,1
"Chautauqua",130932.3,243652825.2,6368,1860.90693587449,0.0486358217185523,1
"Onondaga",465196.6,661417437.8,22456.9,1421.80196028948,0.0482739985631881,1
"Rensselaer",159350.4,197649946.1,7584.4,1240.34797590718,0.0475957386991184,1
"Fulton",54191.8,95525073.2,2573.6,1762.72190995686,0.0474905797556088,1
"Oneida",231847.9,376268380.8,10393.7,1622.91045465583,0.0448298216201225,1
"Tompkins",102644.2,93145818.1,4499.5,907.463043211404,0.0438358913606419,1
"Chemung",86678.3,128610976,3775.8,1483.77363192402,0.0435610758402045,1
"Genesee",58635.7,100669371.3,2459.9,1716.86142230757,0.041952257754235,1
"Oswego",119903.2,239748819.6,4932.2,1999.5197759526,0.0411348487780143,1
"Montgomery",49598,97036034.6,2018.3,1956.45055445784,0.040693173111819,1
"Jefferson",115524.8,195898646.4,4549.4,1695.72807224077,0.0393802889076631,1
"Orange",377083.2,552371172.8,14393.9,1464.85224693118,0.0381716820054566,1
"Cortland",48465,78808350.8,1840.9,1626.0879149902,0.0379841122459507,1
"Sullivan",75961.8,113642830.6,2810,1496.05236579439,0.0369922776974743,1
"Cattaraugus",78265.7,182908962.4,2859.2,2337.02582868357,0.0365319673880129,1
"Cayuga",78406.9,104775285.1,2860.4,1336.30184460806,0.0364814831347751,1
"Seneca",34811.5,57132574,1252.6,1641.19828217687,0.0359823621504388,1
"Orleans",41650.1,83174422.7,1468.9,1996.9801441053,0.0352676224066689,1
"Chenango",48880.4,122340383.6,1713.2,2502.85152330996,0.03504881302117,1
"Warren",64814.9,69088642.9,2262.1,1065.93766093907,0.0349009255587835,0
"Wayne",91677.2,167906932,3125.4,1831.50152927882,0.034091355320625,0
"Clinton",81143.7,128367245.2,2762.3,1581.97426540816,0.034042075971394,0
"Herkimer",63063.3,132915076.7,2118.3,2107.64544037499,0.0335900595116336,0
"Ontario",109131.7,141795481.9,3619.7,1299.3060852163,0.0331681811975805,0
"Ulster",180082.8,193860277.9,5875.3,1076.50635096744,0.0326255478035659,0
"Suffolk",1490224.6,1832971518.8,48416.9,1229.99681980824,0.0324896663227811,0
"Columbia",61397.8,61911735.7,1951.7,1008.37058819697,0.0317877839271114,0
"Dutchess",295304.9,281557163.9,8883.3,953.445621457686,0.0300817900414114,0
"Franklin",50967.6,100175207.6,1515.4,1965.46840738037,0.0297326144452554,0
"Madison",71943.1,103178332.5,2117.3,1434.16578518301,0.0294302024794595,0
"Delaware",46102.5,72402851.6,1325.2,1570.47560544439,0.028744645084323,0
"Steuben",97619.4,205976871.5,2799.5,2109.99935975841,0.0286777013585414,0
"Livingston",64205.1,93258502.3,1785.7,1452.50926016781,0.0278124323457171,0
"Otsego",60840,91489578.7,1638.4,1503.77348290598,0.0269296515450362,0
"Allegany",47497.3,112790681.3,1246,2374.67564051009,0.0262330700902999,0
"Greene",47997.6,54759334.2,1249.6,1140.87650632532,0.0260346350650866,0
"Yates",25157.6,24551549.7,652.1,975.909852291157,0.0259205965592902,0
"Saratoga",225481.2,210783342.7,5622.2,934.81559748662,0.024934229549958,0
"Westchester",964250.7,690594477.2,23627.4,716.198056376832,0.0245033786337931,0
"Schoharie",31711.9,53850723.6,765.7,1698.12353091426,0.024145510045125,0
"Nassau",1352694.9,971765044,31625,718.391888666099,0.0233792557360865,0
"Rockland",320766,209611113.7,7161.5,653.470485338222,0.0223262440532974,0
"Hamilton",4652,3031112.5,101.7,651.57190455718,0.0218615649183147,0
"Lewis",26834.8,55785585.7,578.8,2078.85229999851,0.0215690074082907,0
"Essex",38172.6,37576720.9,805.5,984.389873888601,0.0211015230820012,0
"Washington",62276.8,105573603.2,1269.7,1695.23166251317,0.0203880096600981,0
"Tioga",49552,94307067.3,986.5,1903.19396391669,0.0199083790765257,0
"Wyoming",40969.4,53443542.1,777.8,1304.47461031892,0.018984900926057,0
"Schuyler",18140.1,25243694.6,255.5,1391.596220528,0.0140848176140154,0
"Putnam",99206.5,86834131.5,1332.5,875.286715084193,0.013431579583999,0
