"County","Agency","Year","Months.Reported","Index.Total","Violent.Total","Murder","Rape","Robbery","Aggravated.Assault","Property.Total","Burglary","Larceny","Motor.Vehicle.Theft","Region"
"Bronx","County Total",2019,12,35255,13157,84,645,3530,8898,22098,1750,19081,1267,"New York City"
"Kings","County Total",2019,12,47735,14194,100,842,4031,9221,33541,3203,28505,1833,"New York City"
"New York","County Total",2019,12,49858,9779,52,527,3115,6085,40079,2333,37064,682,"New York City"
"Queens","County Total",2019,12,32483,9393,69,643,2493,6188,23090,2298,19231,1561,"New York City"
"Richmond","County Total",2019,12,4789,1298,14,113,227,944,3491,262,3050,179,"New York City"
"Bronx","County Total",2018,12,35355,12514,91,662,3213,8548,22841,2095,19434,1312,"New York City"
"Kings","County Total",2018,12,50106,14384,98,802,4157,9327,35722,3585,30417,1720,"New York City"
"New York","County Total",2018,12,49830,8951,31,640,2731,5549,40879,2455,37682,742,"New York City"
"Queens","County Total",2018,12,33135,8856,65,582,2534,5675,24279,2360,20344,1575,"New York City"
"Richmond","County Total",2018,12,5738,1408,10,128,327,943,4330,342,3803,185,"New York City"
"Bronx","County Total",2017,12,35507,12534,72,551,3570,8341,22973,2108,19509,1356,"New York City"
"Kings","County Total",2017,12,49766,14593,111,709,4497,9276,35173,3659,29589,1925,"New York City"
"New York","County Total",2017,12,47146,8671,46,530,2749,5346,38475,2215,35622,638,"New York City"
"Queens","County Total",2017,12,32860,9184,50,495,2851,5788,23676,2721,19373,1582,"New York City"
"Richmond","County Total",2017,12,5969,1451,13,90,328,1020,4518,401,3883,234,"New York City"
"Bronx","County Total",2016,12,36834,13817,98,615,4297,8807,23017,2459,19191,1367,"New York City"
"Kings","County Total",2016,12,50802,15523,128,678,4907,9810,35279,3832,29366,2081,"New York City"
"New York","County Total",2016,12,46653,8839,41,494,2929,5375,37814,2206,34867,741,"New York City"
"Queens","County Total",2016,12,33800,9356,47,486,2989,5834,24444,3056,19455,1933,"New York City"
"Richmond","County Total",2016,12,6313,1589,21,99,422,1047,4724,488,3989,247,"New York City"
"Bronx","County Total",2015,12,36299,13409,91,556,4386,8376,22890,2530,18767,1593,"New York City"
"Kings","County Total",2015,12,53957,16385,146,659,5686,9894,37572,5077,30015,2480,"New York City"
"New York","County Total",2015,12,47307,8789,41,467,3148,5133,38518,2538,35156,824,"New York City"
"Queens","County Total",2015,12,35920,9854,60,468,3270,6056,26066,3396,20400,2270,"New York City"
"Richmond","County Total",2015,12,6465,1651,14,94,456,1087,4814,557,4038,219,"New York City"
"Bronx","County Total",2014,12,36030,12713,95,242,4004,8372,23317,2739,19104,1474,"New York City"
"Kings","County Total",2014,12,56700,17053,122,347,5980,10604,39647,5719,31273,2655,"New York City"
"New York","County Total",2014,12,47566,8327,37,243,2909,5138,39239,2678,35791,770,"New York City"
"Queens","County Total",2014,12,38030,9800,64,207,3271,6258,28230,4191,21434,2605,"New York City"
"Richmond","County Total",2014,12,6865,1551,15,31,417,1088,5314,589,4505,220,"New York City"
"Bronx","County Total",2013,12,36280,13020,83,189,4456,8292,23260,2795,19016,1449,"New York City"
"Kings","County Total",2013,12,59056,18258,147,401,6854,10856,40798,5635,32557,2606,"New York City"
"New York","County Total",2013,12,51872,8708,39,236,3340,5093,43164,2775,39647,742,"New York City"
"Queens","County Total",2013,12,39913,10740,59,254,3994,6433,29173,4732,22030,2411,"New York City"
"Richmond","County Total",2013,12,7234,1658,7,32,526,1093,5576,669,4681,226,"New York City"
"Bronx","County Total",2012,12,35962,12801,114,220,4731,7736,23161,3058,18454,1649,"New York City"
"Kings","County Total",2012,12,60690,18673,149,358,7295,10871,42017,6585,32752,2680,"New York City"
"New York","County Total",2012,12,51756,9102,63,295,3581,5163,42654,3085,38735,834,"New York City"
"Queens","County Total",2012,12,40199,10753,83,254,4149,6267,29446,5181,21550,2715,"New York City"
"Richmond","County Total",2012,12,7146,1664,10,35,445,1174,5482,726,4444,312,"New York City"
